nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;;destacada;expedientenumero
parque roca obras complementarias para piletas de natacion  parque roca sector c;Finalizada;espacio publico;corporacion buenos aires sur;se trata de mejorar los cercos pisos pintura de pileta a fin de cumplir con las normas de habilitacion para el programa de colanias de verano;285872;8;villa soldati;roca cnel av 4490;-35∞ -20' 35,76'';-59∞ -34' 53,36'';12/1/2016;31/12/2016;12;100;sol yewen ltda;2016;contratacian directa;38cbas2016;30709272981;usuarios;10;46213850;SI;
parque roca cerco en lago  parque roca sector c;Finalizada;espacio publico;corporacion buenos aires sur;realizacion de cerco perimetral al lago soldati a fin de cumplir con las normas de habilitacion para el programa de colanias de verano;351364;8;villa soldati;roca cnel av 4490;-35∞ -20' 35,75'';-59∞ -34' 53,36'';12/1/2016;31/12/2016;12;100;antonio alak ltda;2016;contratacian directa;37cbas2016;30709930385;usuarios;10;46213850;SI;
instalacion interna de gas  84 viviendas  torres 127 y 8  sector i  complejo habitacional 180 viviendas;Paralizada;arquitectura;corporacion buenos aires sur;la instalacion interna de gas natural de los edificios 1 2 7 y 8 desde los gabinetes de medician hasta las unidades funcionales de dichos edificios desmonte de toda instalacion de gas obsoleta de artefactos y ventilaciones tendido de la nueva instalacion de gas natural provision e instalacion de artefactos (calefan cocina calefactor) y terminaciones en general;57207326;8;villa soldati;fernandez de la cruz f gral av y lacarra av;0∞ 0' 0,00'';0∞ 0' 0,00'';19/12/2022;27/10/2023;9;100;de mantenimiento y construccion san roque ltda;2022;contratacian directa;10cbas2022;30710872496;vecinos;10;46213850;;20515970-DGIURB-2016
tanques de reserva  parque roca sector c;Finalizada;hidraulica e infraestructura;corporacion buenos aires sur;la ejecucion de reparaciones en la estructura metalica existente recambio por completo del sistema de caaera≠as en tanque de bombeo impulsion y bajadas instalaciones electricas y mantenimiento general del sistema de reserva de agua en el parque roca sector c;12583242;8;villa soldati;av cnel roca 3980;-35∞ -23' 21,06'';-59∞ -38' 28,41'';24/10/2022;26/8/2023;10;100;servicios ibarra srl;2022;contratacian directa;08cbas2022;30712217444;usuarios;10;46213850;;
distrito del deporte construccion de sanitarios para personal de boleteraa  club san lorenzo de almagro;Finalizada;arquitectura;corporacion buenos aires sur;tendido cloacal y agua pisos sanitarios iluminacion aberturas y pintura;623000;7;flores;fernandez de la cruz f gral av 2145;-35∞ -21' 56,90'';-59∞ -33' 22,92'';12/12/2016;2/10/2017;95;100;cylp sa;2016;licitacion privada;05cbas2016;30567789000;usuarios;10;46213850;;
colan fabrica;Finalizada;arquitectura;ministerio de cultura;se realiza el acondicionamiento del interior del depasito y la  puesta en valor de su fachada;59056235;4;la boca;pedro de mendoza 2147;-35∞ -22' 8,75'';-59∞ -30' 21,32'';18/2/2019;30/11/2019;95;100;cooperativa de trabajo greti ltda;2018;licitacion publica;lp  515?sigaf/2018;30710961634;vecinos;10;2,02E+11;;
subterraneos  linea h;Finalizada;transporte;secretaria de transporte y obras publicas;nuevas estaciones de la la≠≠nea h taller y cochera parque patricios tunel de trasician pre hospitales acceso aliviador en la estacion pueyredan tunel c2 interestacion;2227000000;2;recoleta;av santa fe y av pueyrredan;-35∞ -24' 42,68'';-59∞ -38' 23,97'';4/10/2011;31/12/2018;86;100;ute techint dycasa;2010;licitacion publica;144/2010;20221477651;vecinos;10;46213850;;
cafeteria parque de la memoria;Finalizada;arquitectura;subsecretaria de proyectos y obras;construccion de un espacio destinado a cafetera≠a dentro del predio del parque de la memoria contara con un gran salon vidriado con vistas hacia el ra≠o una zona de apoyo de servicio y sanitarios publicos;117280000;13;belgrano;rafael costanera obligado av 7001;-34.604.811;-5.838.857;28/12/2022;16/9/2023;86;100;cunumi sa;2022;licitacion publica;101790103lpu22;30615748036;vecinos;10;2,02E+11;;
redisenio de explanada y reparaciones en sala presentes ahora y siempre  parque de la memoria;Finalizada;espacio publico;secretaria de proyectos y obras;redisenio de explanada que contemple un acceso vehicular como acceso de servicio a la sala Äúpresentes ahora y siempreÄù (pays) asimismo se prevan tareas de impermeabilizacion en diversos sectores;68763244;13;belgrano;rafael costanera obligado av 7001;-34.650.698;-58.502.149;15/12/2022;31/8/2023;85;100;cunumi sa;2022;licitacion publica;101790106lpu22;30615748036;vecinos;10;2022338879;;
destacamentos de bomberos remodelacion cuartel de bomberos iii barracas;Finalizada;arquitectura;corporacion buenos aires sur;remodelacion y puesta en valor del cuartel iii  barracas;14305967;4;la boca;brandsen 1046;-35∞ -25' 19,17'';-59∞ -34' 34,25'';3/11/2017;14/10/2018;75;100;building co srl;2017;licitacion publica;07cbas2017;30708969881;usuarios;10;46213850;SI;
parque olimpico cubierta arena parque roca;Finalizada;arquitectura;secretaria de transporte y obras publicas;como estrategia del desarrollo de la zona sur de la ciudad llevando equipamiento de alta categora≠≠a a areas histaricamente relegadas se construya el techo corredizo para el estadio parque roca dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situacian del clima la capacidad aumenta de 14500 a 15500 espectadores ademas se mejoraron todos los accesos circulaciones y el entorno en general ya que el estadio parque roca fue una de las sedes donde se desarrollaron los juegos ola≠≠mpicos de la juventud 2018;103608164;8;villa soldati;Autopista presidente hector campora y 27 de febrero;-35∞ -20' 26,03'';-59∞ -34' 9,82'';26/12/2013;15/9/2018;57;100;teximco sa  dal constructora sa ute;2013;licitacion publica;1723/2013;30714751979;15500;30;14435862013;;
museo de la ciudad;Finalizada;arquitectura;secretaria de transporte y obras publicas;puesta en valor y renovacion de instalaciones  museo de la ciudad  edificios altos de elorriaga y casa de los querubines;3742323635;1;san telmo;adolfo alsina 405/409/417/419/421/423/defensa 183/185/187/193/199  defensa 219/223/225/229;-35∞ -22' 3,19'';-59∞ -36' 10,86'';21/12/2020;6/6/2021;56;100;ses;2020;licitacion publica;682sigaf2020;30647727545;vecinos;10;46213850;;
comisaria comunal 3;Finalizada;arquitectura;ministerio de seguridad;construccion de la comisara≠a comunal 3 sita en la calle venezuela  1931;193653131;3;balvanera;venezuela 1931;-35∞ -24' 37,62'';-59∞ -38' 19,89'';1/4/2022;20/9/2023;56;100;miavasa sa;2022;licitacion publica;394/sigaf/2018;30677303863;vecinos;10;2,02E+11;;
distrito del deporte construccion de muro perimetral  asociacian civil nueva estrella;Finalizada;arquitectura;corporacion buenos aires sur;ejecucion de muro perimetral de 117 ml y 3 mts de altura;1600495;8;villa lugano;santander 4602;-35∞ -20' 20,34'';-59∞ -31' 54,51'';22/2/2017;5/8/2017;55;100;ae ponce ingenieria sa;2017;contratacian directa;47cbas2016;30714763098;usuarios;10;46213850;;
escuela de educacion especial y formacian laboral  28 prof bartoloma ayrolo obra de infraestructura;Finalizada;escuelas;ministerio de educacion;obra de refacciones varias;26452092;11;villa devoto;lincoln av 4325;-35∞ -27' 58,31'';-59∞ -34' 25,13'';6/2/2013;3/9/2017;55;100;teximco sa;2013;licitacion publica;1816/sigaf/2014;30640087257;vecinos;10;46213850;;
camino de sirga ii;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;la segunda etapa del camino de sirga se centra en liberar y volver transitable y accesible el margen del riachuelo entre las calles vieytes y av saenz se recupera para el uso publico en va≠≠as de cumplimentar con lo enunciado en el plan urbano ambiental donde se indican los rasgos fundamentales que deben desarrollar la ciudad de buenos aires y los principales lineamientos para garantizar el alcance de dichos rasgos se propuso un parque lineal con un camino vehicular enfocado al transito recreativo de las personas involucrando la construccion de un paseo ribereao bicisendas espacios verdes alumbrado y equipamiento general;40774370;4;barracas;zavaleta e gral iriarte;-35∞ -21' 3,84'';-59∞ -36' 2,05'';8/1/2013;31/5/2017;52;100;bricons saicfi;2012;licitacion publica;2278/2012;30541068151;4350;23;16304722012;;
comisaria comunal 9;Finalizada;arquitectura;ministerio de seguridad;construccion de la comisara≠a comunal  9Äù;15824883668;9;liniers;reservistas argentinas  470;-34619637∞ 0' 0,00'';-58373408∞ 0' 0,00'';10/12/2018;28/2/2022;50;100;bricons saicfi;2019;licitacion publica;113/sigaf/2018;30541068151;vecinos;10;2,02E+16;;
estacion de bombeo n5;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;el sistema pluvial bocabarracas es un sistema de control y drenaje para evitar las recurrentes inundaciones en los barrios mas bajos de la ciudad (boca y barracas) fundamentalmente a raa≠≠z del fenameno de las sudestadas que durante un siglo generaron inundaciones degradando la calidad de vida de sus habitantes y retrasando el desarrollo de esos barrios con respecto al resto de la ciudad la estacion de bombeo 5 en la etapa final de ejecucion del sistema conta con 8 bombas axiales de 45 m3/seg 8 compuertas de control de desaga≠ºe limpiarrejas dos estaciones transformadoras de alta tension y un sistema de colectores pluviales;145125053;4;barracas;Regimiento de patricios y Brandsen;-35∞ -22' 14,53'';-59∞ -38' 10,84'';1/8/2013;15/6/2017;46;100;mercovial sabavisa ute;2013;licitacion publica;1816/sigaf/2014;30687237346;215000;24;46213850;;
jardan de infantes integral n 10 de 4;Finalizada;escuelas;ministerio de educacion;inicial;6499921;4;la boca;marta≠≠n rodriguez 425;-35∞ -24' 36,31'';-59∞ -36' 29,97'';20/5/2015;30/6/2017;45;100;teximco sa;2015;licitacion publica;1816/sigaf/2014;30640087257;vecinos;10;46213850;;
remedios de escalada de san martin;En Ejecucion;espacio publico;ministerio de espacio publico e higiene urbana;obra que como parte de una estrategia de despavimentacian esta orientada a aumentar el espacio verde en la ciudad;16079785919;11;villa del parque;plaza roque saenz penia entre boyaca y andres lamas;-35∞ -20' 16,57'';-59∞ -31' 40,42'';13/3/2023;2/8/2023;45;100;naku;2022;licitacion publica;3510135lpu22;30575292174;vecinos;10;46213850;;
centro de gestian y participacian  comuna 12;Finalizada;arquitectura;secretaria de transporte y obras publicas;la nueva sede de la comuna 12 ubicada en la calle holmberg en villa urquiza es la sede de la zona que integra a los barrios de coghlan saavedra villa urquiza y villa pueyrredan el edificio tiene tres pisos y permite realizar tramites de manera mas camoda y rapida opera los servicios de rentas defensa al consumidor licencias infracciones registro civil tesorera≠≠a mediacian comunitaria e intermediacian laboral;36725502;12;villa urquiza;holmberg 2548;-35∞ -26' 6,63'';-59∞ -32' 39,82'';28/10/2013;17/4/2017;42;100;conorvial sa;2013;licitacion publica;2590/2012;33504596309;200116;65;19562732012;;
teatro san martin renovacion de instalaciones y tecnologaa;Finalizada;arquitectura;secretaria de transporte y obras publicas;se realiza la recuperacian y adecuacion tecnologica de los ambitos principales del teatro y sus areas complementarias y de servicios incluyendo las salas marta≠≠n coronado casacuberta y lugones los halls camarines nacleos sanitarios circulaciones verticales y horizontales y demas sectores de apoyo;160977932;1;san nicolas;corrientes 1530;-35∞ -24' 15,26'';-59∞ -37' 19,11'';25/8/2014;28/2/2018;42;100;bricons saicfi  grupo farallon sa (ute);2014;licitacion publica;254sigaf14;30714527351;vecinos;250;46213850;;
subterraneos  linea e sistema de seÒales;Finalizada;transporte;secretaria de transporte y obras publicas;comprende la provision instalacion y puesta en servicio de un sistema de seaalamiento para los tramos comprendidos entre las estaciones bola≠≠var y retiro y entre la estacion plaza de los virreyes y la entrada del taller lacarra;241462471;1;san nicolas;corrientes av 199;-35∞ -23' 17,27'';-59∞ -29' 2,85'';2/12/2015;14/5/2019;41;100;alstom argentina sa;2014;contratacian directa;17/14;33660517109;vecinos;10;46213850;;
hospital borda  relocalizacion servicio bulimia y anorexia del pabellon central;Finalizada;salud;ministerio de salud;la obra comprendia la remodelacion integral de un sector del pabellon central del hospital ubicado en la planta baja del ala 4b para dar respuesta a los requerimientos planteados por el hospital el sector destinado al servicio de bulimia y anorexia fue sujeto a remodelacion integral y cuenta con un total de 798 m2 cubiertos y 29 m2 descubiertos se encuentra desarrollado en una planta;8108578;4;barracas;carrillo ramon dr 375;-35∞ -19' 4,34'';-59∞ -33' 50,93'';16/6/2014;1/10/2017;40;100;sunil sa;2014;licitacion publica;166/2014;30516354247;vecinos;18;46213850;SI;EX -2017-06016318-MGEYA-UPEEI
barrio 20 infraestructura ejes principales;Finalizada;infraestructura;instituto de la vivienda;la obra comprende la construccion de la infraestructura (camaras transformadoras obra civil red electrica de media y baja tension alumbrado publico redes de comunicacian red de agua red de cloaca red pluvial pavimentos y veredas);39153758677;8;villa lugano;barrio 20;-35∞ -27' 44,64'';-59∞ -33' 30,73'';14/6/2019;20240431;40;100;miavasa;2018;licitacion publica;lp5218;30677303863;33350;56;2,02E+11;;
nuevo cesac 14;Finalizada;salud;ministerio de salud;la obra comprende la construccion de dos edificios en los que se preva la posibilidad de una ampliacion futura de un nivel mas en su totalidad el area total de la intervencion comprende 2585 m2 cubiertos 145 m2 semicubiertos y 960 m2 descubiertos la primera etapa comprende la construccion del nuevo prototipo de centro de salud mas la ejecucion de locales de infraestructura que albergan sala de tableros depasitos sala de bombas gases madicos los que son comunes a los dos edificios y estan dimensionados para los requerimientos de infraestructura de ambos mas el sector destinado a camara transformadora y sala de corte (2840 m2) y los espacios exteriores definido en el plano de etapas (13287 m2) en la segunda etapa una vez terminada la obra las funciones del cesac  14 se trasladaran al nuevo edificio y se procedera a la demolicion del antiguo centro de salud la tercera etapa comprende la construccion del nuevo centro madico de especialidades ambulatorias (cemar);105154463;9;parque avellaneda;casco horacio dr 4446;-35∞ -20' 23,33'';-59∞ -33' 30,11'';16/6/2017;30/1/2020;37;100;mejoramiento hospitalario sa;2014;licitacion publica;1305/2016;30707962654;vecinos;45;46213850;;
escuela primaria coman  17 francisco de vitoria obra de infraestructura;Finalizada;escuelas;ministerio de educacion;obra de refacciones varias y restauracion;4374885;15;villa crespo;alvarez julian 240;-35∞ -22' 20,78'';-59∞ -35' 20,42'';22/4/2014;11/5/2017;37;100;garbin sa;2014;licitacion publica;1816/sigaf/2014;30521147373;vecinos;10;46213850;;
sistema hidrometeorologico integral de observacion vigilancia y alerta;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;sistema hidrometeorologico integral de observacion vigilancia y alerta que permite disponer de informacian confiable y precisa necesaria para aumentar la capacidad de prediccian de mal tiempo en la ciudad advirtiendo sobre probables inundaciones y mejorando el manejo de situaciones de emergencia y recuperacian;116460262;15;chacarita;guzman 201;-35∞ -22' 9,68'';-59∞ -31' 46,17'';31/10/2016;1/11/2019;37;100;autotrol sa  wdt inc;2014;licitacion publica;1816/sigaf/2014;30504913712;vecinos;20;46213850;;2888256-MGEYA-2013
acumar san antonio  viviendas;Finalizada;vivienda;instituto de la vivienda;se lleva a cabo la ejecucion de la obra goncalves da≠≠as 738 y san antonio 721/725 construccion 64 viviendas y obras exteriores/tipologa≠≠a pb + 5 pisos;84025000;4;barracas;san antonio 721;-35∞ -26' 9,10'';-59∞ -32' 39,94'';1/1/2015;31/12/2017;35;100;vidogar construcciones sa;2009;licitacion publica;lpub50ivc2009;30553433564;256;48;46213850;SI;
buenos aires playa 2018 parque indoamericano  instalacion electrica;Finalizada;espacio publico;corporacion buenos aires sur;ejecucion de playa seca para programa bs as playa 2018;91168;8;villa soldati;escalada av y castaniares av;-35∞ -22' 14,53'';-59∞ -38' 2,40'';29/12/2017;8/1/2018;35;100;martinez cesar javier;2017;contratacian directa;76cbas2017;20273633325;usuarios;10;46213850;;
camino de sirga iii;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;el proyecto contempla la recuperacian de la tenencia de los predios linderos al riachuelo la limpieza y adecuacion de los terrenos a fin de construir una calle de servicio y el parque lineal asociado el camino se ejecuta en granitullo sobre losa de hormigon excepto donde existe previamente un pavimento en buen estado de conservacian que amerita su conservacian;94995724;4;barracas;zavaleta e gral iriarte;-35∞ -21' 3,84'';-59∞ -36' 2,05'';10/8/2017;29/1/2021;34;100;urbaser argentina sa  ceob sa ute;2017;licitacion publica;671 sigaf/17;30714682489;80000;10;44408172017;;
ens n 3 bernardino rivadavia;Finalizada;escuelas;ministerio de educacion;inicial;13637154;1;san telmo;peru 1236;-35∞ -24' 26,10'';-59∞ -36' 0,13'';1/4/2016;13/2/2019;34;100;warlet sa;2016;licitacion publica;1816/sigaf/2014;30700435853;vecinos;24;46213850;;
paso bajo nivel av san martin;Finalizada;transporte;secretaria de transporte y obras publicas;el paso bajo nivel san marta≠≠n posee una longitud de 370 metros que se extiende entre las calles pareja y asuncian cuenta con cuatro carriles dos en cada sentido y su tunel presenta una altura de 510 metros permitiendo la circulacian de veha≠≠culos pesados livianos y los colectivos del metrobus san marta≠≠n;111988844;11;villa devoto;San Martin Y Pareja;-35∞ -25' 37,90'';-59∞ -30' 18,43'';17/1/2014;21/10/2016;33;100;fontana nicastro sac martinez y de la fuente sa ute;2013;licitacion publica;2,01E+11;33714340609;70000;10;46213850;SI;
paso bajo nivel beira;Finalizada;transporte;secretaria de transporte y obras publicas;el paso bajo nivel beira tuvo como caractera≠≠stica particular la presencia de caaos de gran envergadura bajo tierra lo cual hizo necesario un nuevo trazado de la avenida en este tramo generando un corrimiento hacia el lado del club comunicaciones y la facultad de agronoma≠≠a a raa≠≠z de ese desplazamiento se definia un espacio de unos 25 m de ancho y de 500 m de largo que se proyecta como area verde para usos recreativos funcionando como conector ambiental adyacente a la avenida;114299267;15;agronomia;Beiro y Gutenberg;-35∞ -25' 35,11'';-59∞ -31' 28,09'';14/9/2014;19/6/2017;33;100;benito roggio  esuco (ute);2014;licitacion publica;2,01E+11;30709479896;vecinos;10;46213850;SI;
hospital cecilia grierson  remodelacion y ampliacion etapa  2 3 madulo;Finalizada;salud;ministerio de salud;esta obra consiste en dos estructuras circulatorias bien diferenciadas una para el publico y otra para personal tacnico se incorporara el centro quirargico con habitaciones de terapia intensiva y habitaciones de internacian corta estancia se construiran edificios anexos como areas de apoyo para mantenimiento tanques y salas de gases madicos esta intervencion abarca una totalidad de 5756 m2 cubiertos y 11095 m2 descubiertos;296735562;8;villa lugano;fernandez de la cruz f gral av 4402;-35∞ -23' 44,06'';-59∞ -38' 39,40'';1/8/2017;31/5/2020;33;88;henisa sudamericana sa;2017;licitacion publica;212ssass2017;33668217759;vecinos;90;2,63E+11;;
ramal austria i;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;la obra consistia en un conducto de cuatro metros de diametro realizado mediante la metodologa≠≠a de tunel de excavacian manual con revestimiento metalico tipo linner que en su primera etapa de ejecucion se complementa con ocho camaras de ataque de 4 metros de diametro ejecutadas con la misma tecnologa≠≠a;75368613;2;recoleta;Av del libertador y Figeroa Alcorta;-35∞ -25' 11,71'';-59∞ -37' 9,07'';26/5/2015;30/1/2018;32;100;tecma sa;2015;licitacion publica;1816/sigaf/2014;30623866528;441092;50;46213850;;
cesac  35 ampliacion;Finalizada;salud;ministerio de salud;en la obra se contemplan trabajos de ampliacion y reforma del edificio cesac 35 sito en la calle osvaldo cruz y zavaleta villa 2124 la obra comprende el agregado de un nuevo cuerpo al edificio existente ademas de los servicios y apoyos para profesionales que se trasladaron del edificio existente hacia este nuevo cuerpo por otra parte se remodelan los sectores existentes indicados en planos para optimizar el uso de los espacios en funcian de la atencian madica el alcance de los trabajos comprende todos los rubros de obra e instalaciones necesarios para ejecutar de acuerdo a planos y planillas la ampliacion remodelacion y puesta en funcionamiento de este servicio la superficie que se interviene se detalla a continuacian pb 130 m2 de ampliacion + 50 m2 de modificaciones en sector existente 1er piso 130 m2 de ampliacion + 55 m2 de modificaciones en sector existente 2do piso 415 m2 de edificio nuevo son provistos dentro de la obra los elementos del equipamiento mobiliario especificados;40536952;4;barracas;cruz osvaldo y zabaleta;-35∞ -21' 57,02'';-59∞ -30' 14,89'';25/1/2017;28/2/2020;32;100;creazy sa;2016;licitacion publica;610/2018;30604370171;vecinos;17;46213850;;
obra de descarga;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;el nuevo emisario tendra 84 km de extension y permitira duplicar la capacidad de conduccian de agua del emisario principal ya existente hasta su desembocadura en el ra≠≠o de la plata el monto total del segundo emisario del arroyo vega es $2893118429 incluye asta y 5 obras mas;2893118429;13;belgrano;av rafael obligado 6125;-35∞ -25' 32,96'';-59∞ -34' 46,33'';27/12/2016;28/2/2020;32;100;vega + roggio + castellone + supercemento;2015;licitacion publica;lpi 644/2015;30715327275;vecinos;10;46213850;;18528975/MGEYA/2018
paseo del bajo tramo a  viaductos;Finalizada;transporte;secretaria de transporte y obras publicas;la realizacian de esta obra significa una organizacian vial que mejora sustancialmente la circulacian de mas de 25000 veha≠≠culos entre ellos casi 10000 camiones acortando tiempos de viaje reduciendo la contaminacian visual sonora y del aire y aumentando la seguridad vehicular y de peatones esta obra tiene mas de 6 kilametros de extension que conecta el sur con el norte de la ciudad se encuentra ubicada entre las calles alicia moreau de justo y maderohuergo y luego en la zona de retiro circulando por av ramos meja≠≠a antartida argentina y castillo al costado de la trinchera para veha≠≠culos pesados<sobre las avenidas alicia moreau de justo y maderohuergo se ubican los carriles para transito liviano hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad maxima de 60 y dos de 40 kilametros por hora) separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia el a≠¢aÇÇ¨aÇÂìpaseo del bajo contempla ademas la creacian de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos a≠¢aÇÇ¨aÇÂìa≠ÄöaÇ¥parque lezamaa≠¢aÇÇ¨aÇÂì y que estan ubicados a los costados de los carriles para veha≠≠culos livianos y sobre la trinchera para camiones por un total de mas de 60000 metros cuadrados ademas se crearon nuevas ciclova≠≠as para facilitar el acceso y fomentar la recreacian y la movilidad sustentable en la zona;1547000000;1;puerto madero;av Ing huergo y Juan de Garay;-35∞ -23' 26,11'';-59∞ -39' 55,84'';2/1/2017;30/8/2019;31;100;corsan corviam construccion sa;2016;licitacion publica;2,02E+11;30710216386;vecinos;10;46213850;;
barrio 31 cesac provisorio;Finalizada;salud;ministerio de desarrollo humano y habitat;se procedia a la construccion de modulos sanitarios para la atencian de urgencias madicas de asistencia urgente y basica los mismos ocupan una superficie de 260m2;1595413;1;retiro;gendarmeria nacional av 679;-35∞ -21' 45,39'';-59∞ -33' 11,71'';1/4/2016;26/11/2018;31;100;merlino;2017;licitacion publica;1186/sigaf/17;20103652775;43190;15;1219741417;;
