nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;expediente-numero
Villa Olí­mpica: Viviendas VII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;$ 123.691.183,00;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;25/2/2016;31/10/2017;20;100;Cunumi S.A;2015;Licitación Pública;449/2015;30615748036;vecinos;10;7.482.410-MGEYA-DGPUYA-2015
Villa Olí­mpica: Viviendas VIII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 8 contempló la construcción de 4 edificios que fueron destinados a los Juegos Olí­mpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.;$ 174.609.630,00;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;15/2/2016;15/11/2017;21;100;Constructora Sudamericana S.A.;2015;Licitación Pública;528/2015;30610895456;vecinos;10;7.483.365-MGEYA-DGPUYA-2015
Villa Olí­mpica: Viviendas X;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 10 completó el grupo de licitaciones de viviendas para los Juegos Olí­mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Además, se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.;$ 98.174.265,00;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;28/4/2016;31/12/2017;20;100;Vidogar Construcciones S.A;2015;Licitación Pública;573/2015;30553433564;vecinos;10;12.808.238-MGEYA-DGPUYA-2015
Villa Olí­mpica: Viviendas I;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 1 contempló la construcción de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.;$ 154.853.715,00;8;Villa Lugano;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;-34,67374819;-58,45900361;1/6/2015;20/12/2017;30;100;Cavcon S.A.;2015;Licitación Pública;1876/2014;33707292259;vecinos;10;15282589-DGPUYA/2D14
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión Y Colocación De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Olí­mpica;$ 58.565.032,00;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;7/8/2018;4/5/2019;9;100;CALELLO HERMANOS SA;2018;Licitación Pública;04-CBAS-2018;30500716858;vecinos;10;46213850
Parque Olí­mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se procedió a la contrucción de un cerco olí­mpico perimetral que ayudó a delimitar el área de intervención, resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Además, incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes, la extracción y trasplante de los árboles y arbustos dentro del mismo predio.;$ 48.590.604,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;28/12/2016;30/3/2017;3;100;Salvatori S.A Parques Y Jardines;2016;Licitación Pública;880-SIGAF/16;30512700124;vecinos;10;20515970-DGIURB-2016
Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagí¼es cloacales, desagí¼es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olí­mpico.;$ 42.340.809,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;30/1/2017;16/4/2018;15;100;Tecma S.A.;2016;Licitación Pública;1032-SIGAF/16;30623866528;vecinos;10;20.669.375-DGIURB-2016
Parque Olí­mpico: Pabellones A1 Y A2.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.;$ 194.988.604,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;15/2/2017;31/12/2017;10;100;Constructora Sudamericana S.A.;2016;Licitación Pública;1192-SIGAF/16;30610895456;vecinos;10;2016-24004377-MGEYA-DGIURB
Parque Olí­mpico: Pabellones A3 Y A4.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olí­mpicos.;$ 168.646.366,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;15/2/2017;12/1/2018;11;100;Criba S.A.;2016;Licitación Pública;1191-SIGAF/16;30505454436;vecinos;10;EX-2016-24004750-MGEYA-DGIURB
Parque Olí­mpico: Espacio público, equipamiento deportivo exterior;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. Las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Además, se puso en valor el pórtico de acceso al parque olí­mpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios.;$ 349.706.395,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;7/6/2017;30/10/2018;16;100;Conorvial S.A;2017;Licitación Pública;266/2017;33504596309;vecinos;10;27359314-DGIURB-2016
Parque Olí­mpico: Pabellón C.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras en el Pabellón C que consistieron en la ejecución del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores.;$ 508.091.151,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;25/4/2017;30/6/2018;14;100;Niro Construcciones S.A.;2017;Licitación Pública;36/ 2017;33588171979;vecinos;10;EX-2016- 25.688.941í¢Â€Â“MGEYA-DGIURB
Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Ejecución De Seis Núcleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olí­mpica ;$ 1.686.743,00;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;19/11/2018;19/1/2019;2;100;Bosquimano S.A;2018;Contratación Directa;54-CBAS-2018;30711470022;vecinos;10;46213850
Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Readecuación De Locales De Planta Baja En Edifio UG7 De Villa Olí­mpica ;$ 3.118.410,00;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;5/2/2019;6/4/2019;1;100;CM CONSTRUCCIONES SA;2019;Contratación Directa;57-CBAS-2018;30714322660;vecinos;10;46213850
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión y Colocación de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olí­mpica; 6595600;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;2/1/2019;11/2/2019;1,33;100;MIAVASA SA;2019;Licitación Privada;01-CBAS-2018;30677303863;vecinos;10;46213850
Parque Olí­mpico: Pabellón B.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;La obra consistió en la construcción del Pabellón C que albergó a la competencia de gimnasia artí­stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logí­stica, enfermerí­a y doping.;$ 283.389.377,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;5/8/2017;30/6/2018;10;100;Criba S.A.;2017;Licitación Pública;35 /17;30505454436;vecinos;10;24.005.383-DGIURB-2016
Parque Olí­mpico: Infraestructura eléctrica.;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;La licitación contempló el reacondicionamiento y modernización de las instalaciones existentes en el Parque Olí­mpico y la ejecución de la nueva red para la distribución de energí­a de los pabellones y edificios administrativos. La obra incluyó una sub estación de entrada de energí­a, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios.;$ 54.936.733,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;13/2/2017;30/5/2018;15;100;Urban Baires S.A.;2016;Licitación Pública;1035-SIGAF/16;30711290075;vecinos;10;EX-2016- 20669799-DGIURB
Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M;Finalizada;Espacio Público;Corporación Buenos Aires Sur;La Obra Consiste En La Nivelación De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Olí­mpica;$ 13.671.988,00;8;Villa Lugano;Escalada Av. 4200;-34,672645;-58,454314;6/8/2018;4/11/2018;3;100;MIAVASA SA;2018;Contratación Directa;45-CBAS-2018;30677303863;vecinos;10;46213850
"Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4";Finalizada;Arquitectura;Corporación Buenos Aires Sur;La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Olí­mpica.;$ 150.333.723,00;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;30/11/2018;29/5/2019;6;100;CM CONSTRUCCIONES SA;2018;Contratación Directa;41-CBAS-2018;30714322660;vecinos;10;46213850
Paseo Del Bajo: Tramo A - Viaductos;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;"La realización de esta obra significó una organización vial que mejoró sustancialmente la circulación de mas de 25.000 vehí­culos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminación visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene más de 6 kilómetros de extensión que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Mejí­a, Antártida Argentina y Castillo. Al costado de la trinchera para vehí­culos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para tránsito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad máxima de 60 y dos de 40 kilómetros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El í¢Â€ÂœPaseo del Bajo"" contempló además la creación de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos í¢Â€Âœí‚Â´Parque Lezamaí¢Â€Âœ y que están ubicados a los costados de los carriles para vehí­culos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Además, se crearon nuevas cicloví­as para facilitar el acceso y fomentar la recreación y la movilidad sustentable en la zona.";$ 1.547.000.000,00;1;Puerto Madero;HUERGO, ING. AV. Y GARAY, JUAN DE AV.;-34,6239195;-58,36551222;2/1/2017;30/8/2019;31;100;CORSAN CORVIAM CONSTRUCCION SA;2016;Licitación Pública;2016-01-0007-00;30710216386;vecinos;10;46213850
Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;El tramo B del proyecto contempló el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercaní­as al parque central. Se desarrolló en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.;$ 1.640.500.000,00;1;Puerto Madero;HUERGO, ING. AV. Y GARAY, JUAN DE AV.;-34,6239195;-58,36551222;2/1/2017;30/4/2019;27;100;Green Seosa Pbt Ute;2016;Licitación Pública;2016-01-0008-00;30715467999;vecinos;10;46213850
Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;El tramo C se desarrolló desde el final del tramo B en cercaní­as del parque central hasta el comienzo del viaducto norte en el área de retiro. El primer tramo, al igual que el tramo B, se llevó a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Cañada en Retiro, se llevó a cabo a nivel.;$ 3.183.200.000,00;1;Puerto Madero;HUERGO, ING. AV. Y GARAY, JUAN DE AV.;-34,6239195;-58,36551222;1/2/2017;25/4/2019;26;100;Iecsa - Fontana Nicastro Ute;2016;Licitación Pública;2016-01-0009-00;30715471457;vecinos;10;46213850
Ramal Austria I;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;La obra consistió en un conducto de cuatro metros de diámetro realizado mediante la metodologí­a de túnel de excavación manual con revestimiento metálico tipo linner, que en su primera etapa de ejecución se complementó con ocho cámaras de ataque de 4 metros de diámetro ejecutadas con la misma tecnologí­a.;$ 75.368.613,00;2;Recoleta;DEL LIBERTADOR AV. Y FIGUEROA ALCORTA, PRES. AV.;-34,58658516;-58,3858523;26/5/2015;30/1/2018;32;100;Tecma S.A.;2015;Licitación Pública;1816/SIGAF/2014;30623866528;441092;50;46213850
Ramal Caaguazú -Ampliación Red Pluvial VII;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;Los trabajos de la obra hidráulica del ramal Caaguazú consistieron en la ampliación de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Constó de dos conductos: El primero se inició en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzó en la esquina de Caaguazú desde Oliden, pasando por calle Ramon L. Falcón.;$ 69.200.043,00;9;Liniers;OLIDEN Y FALCON, RAMON L.,CNEL.;-34,64044393;-58,51707948;28/7/2016;30/4/2018;21;100;SES S.A. - CONSTRUERE INGENIERIA S.A. - RED VII - UNION TRANSITORIA DE EMPRESAS;2016;Licitación Pública;1816/SIGAF/2014;30715243489;vecinos;10;46213850
Ramal Escalada -Ampliación Red Pluvial VI;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;Se realizó una obra de mejoramiento y readecuación de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8.;$ 52.685.356,00;8;Villa Riachuelo;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y SUAREZ, JOSE LEON;-34,68962583;-58,47762248;22/8/2016;10/12/2017;16;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2015;Licitación Pública;1816/SIGAF/2014;30712263454;vecinos;10;46213850
Red Pluvial IV: Ampliación;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;La obra consistió en la ejecución de conductos circulares con respectivas cámaras, sumideros, nexos y demás componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captación pluvial, complementarios al plan director de ordenamiento hidráulico.;$ 24.536.126,00;12;Coghlan;QUESADA Y PEREZ, ROQUE;-34,56034048;-58,47457524;16/6/2014;31/10/2016;28;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2013;Licitación Pública;2529/2013;30712263454;1000000;17;2769136/2013
Centro de Exposiciones y Convenciones;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyectó a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque público. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estratégico de la ciudad de Buenos Aires dada su localización y su potencialidad simbólica y espacial. El edificio tiene capacidad para 5.000 asistentes y está conformado por una sala plenaria y otras salas auxiliares divisibles. También cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehí­culos y un foyer de 1.600 mí‚Â². A su vez, tiene acceso a la estación Facultad de Derecho de la lí­nea H.;$ 313.660.000,00;2;Recoleta;COUTURE, EDUARDO J. Y VAZ FERREIRA, CARLOS, DR.;-34,58343908;-58,38831874;20/12/2014;30/4/2017;28;100;C.R.I.B.A. SA - MEJORES HOSPITALES SA - UNION TRANSITORIA DE EMPRESAS;2013;Licitación Pública;2.594/2013;30714365440;5000;170;4.150.195/2013
Edificio Lezama: Obra Civil;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;La obra del Palacio Lezama se integró dentro del plan de descentralización administrativa del gobierno porteño al sur de la Ciudad. El edificio es patrimonio histórico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Martí­n Garcí­a, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehí­culos por calle Pilcomayo. Fue remodelado y restaurado í­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnológicos, funcionales y de seguridad de las dependencias que trabajaban allí­. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernización, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Público y Sindicatura General.;$ 52.831.053,00;4;La Boca;GARCIA, MARTIN AV. 346;-34,62890773;-58,36993913;13/3/2015;30/12/2016;21;100;SES SA;2014;Licitación Pública;1816/SIGAF/2014;30647727545;3100;60;46213850
Arroyo Vega - Mejora de la Eficiencia Hidraulica;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;Se llevó adelante la obra que implicó entabicar las columnas y las vigas para la mejora de la eficiencia hidráulica del conducto, asegurando el desplazamiento del fluido de la manera más eficaz posible. La obra se ejecutó entre las calles 11 de Septiembre y Balbí­n, bajo la calle Blanco Encalada.;$ 20.356.959,00;13;Belgrano;Av. Rafael Obligado 6125;-34,551158;-58,428715;22/12/2014;30/9/2016;21;100;Tecma S.A.;2014;Licitación Pública;1459/2014;30623866528;138942;17;5.428.222/2014
Conector Ambiental Iriarte;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Tipologí­a de calle con importante presencia de vegetación. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.;$ 10.984.180,00;4;Parque Patricios;VELEZ SARSFIELD AV. Y ALCORTA, AMANCIO AV.;-34,64019899;-58,38988716;3/2/2015;28/7/2017;29;100;Altote S.A;2014;Licitación Pública;1526/2014;30707431896;29894;12;46213850
Parque Olí­mpico: Cubierta Arena Parque Roca.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categorí­a a áreas históricamente relegadas, se construyó el techo corredizo para el Estadio Parque Roca. Dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situación del clima. La capacidad aumentó de 14.500 a 15.500 espectadores, además, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el Estadio Parque Roca fue una de las sedes donde se desarrollaron los Juegos Olí­mpicos de la Juventud 2018.;$ 103.608.164,00;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;26/12/2013;15/9/2018;57;100;Teximco S.A. - Dal Constructora. S.A. Ute;2013;Licitación Pública;1.723/2013;30714751979;15500;30;1.443.586/2013
Metrobus Del Bajo: Paradores - Etapa I;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;El Metrobus del Bajo comprende un corredor vial de 4,8 kilómetros sobre las Av. Leandro N. Alem y Av. Paseo Colón que une los Barrios de Retiro y La Boca. El proyecto se inserta dentro del Plan de Movilidad Sustentable en el cual contempló el rediseño del espacio para darle prioridad al transporte público, la promoción de la movilidad sustentable, el ordenamiento, la seguridad vial y la introducción de tecnologí­as que permiten brindar información en tiempo real. Su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lí­neas de colectivos que prestan servicio a más de 300.000 personas por dí­a.;$ 229.538.623,00;1;Montserrat;YRIGOYEN, HIPOLITO AV. Y PASEO COLON AV.;-34,6088315;-58,3696578;15/2/2017;15/7/2017;5;100;Riva S.A;2016;Licitación Pública;1224-SIGAF/16;33504596309;300000;350;24.603.091-DGTMBR-2016
